"字段1","字段4","字段5"
"tenlight","1","我看出来了，原来公检法系统里不是同学就是亲戚，这片是最高检拍的，所以检察院都是好人，是你们其他部门出了坏人......"
"Youknownothing","1","导演能力有限，把控能力稍弱，一众老戏骨给力，陆毅画风有点不对，总体还是蛮好的"
"附耳低言","0","好看，一直在安利给身边的人"
"Denise430","5","质量三星，这部剧的积极意义加两星。"
"Icream","0","一直都觉得爷爷那一代的人的梦想真伟大啊！"
"EricVisitor","0","上次差评那个好像已经不在了吧。我给的可是好评。"
"思无间","3","陆毅虽然很差，但是这部戏确实很好看，甚至一些小细节也都处理的很好。"
"不喝白兰地的猫","0","陆毅是得罪了编剧么？台词不是做作就是尴尬 头一次看见说话这么像小学三道杠的反贪处长"
"明日的手纸","0","我觉得陆毅并不比其他演员差啊……一个没看过剧的也来跟我说陆毅被吊打…一问才知道这人根本只看了一点点这剧……所以是跟风黑？难道不说这句话就不好意思说自己看过这剧？"
"Ann","0","跟风看，结果还挺喜欢的俩演员（角色）一个第二集就gg了，一个五六集就躺尸了...尴尬..."
"竹子","0","喜欢，侯勇演技真的很好"
"李志杰Damon","0","这分咋天天下降啊，简直了"
"粽子。","0","刚看了两集，这个片应该是吸取原来真实事件来进行改编的，配角的演技简直甩了主角好几条街，高官互为师生、互为亲属，简直太现实了。"
"小民很行","6","这阵容估计2017年也是没谁了，五星观望"
"miniqq","0","这部电视剧说明了出身很重要，剧里当权者利益关系者上下级关系，都不外乎是夫妻、同学、师生、亲戚，呵呵哒"
"奔奔是个好姑娘","4","好好看啊啊啊啊啊啊啊 演技都好棒 喜欢看老戏骨们 要是男主也是演话剧的那款就更强了！"
"海盗乔","0","真是烂剧啊，吹的这么厉害"
"枣","0","觉得李达康特别帅"
"Cpink","1","喜欢死李达康了，迷之魅力，炸毛属性贼萌贼萌的，不一样的苏，达康书记，打滚，啊啊啊啊~"
"Minstrel","4","满满的症状"
"������","0","更新四集的时候开始看，现在要看完小说再看剧。"
"荒野十一妹","5","把黑暗拍出来是另外一种光明，老戏骨们太棒。"
"小明","2","共产党人是为人民服务的，不是为人民币服务的，好燃"
"枫叶落下的殇","0","前两集激情动魄，让人震撼，即感叹于候勇小角色演的出神入化，又细细体会中国式打官腔。后面几集从具体事件入手，娓娓道来，拨开层层迷雾，让人欲罢不能。这部剧会追到底，情节有逻辑、有起伏，人物演的细腻生动，还有中国式官场哲学让人体会学习。"
"荔枝","0","还不错，达康书记在电视剧里最圈粉，但是现实中有这样的官员还是挺闹心的！有空再写长评吧"
"空回首儒冠误身","0","后面剧情太过拖沓"
"w~~...u","0","时代的产物"
"单二","2","牛逼！！"
"独月夜","0","追忆部分对革命事业的回顾有血有肉，比脑残抗日剧深刻太多"
"多冷的隆冬","0","老戏骨不错的，剧情有点拖，有几个角色烦人，但恶意刷低分也蛮恶心的"
"岛呀","0","在追"
"后斐济猫","2","我没看，我先表个态，这剧现在开始在我世界里不存在了！我对他取关了！但不是拉黑！这一点一定要明确！"
"周星星","1","看到第七集开始出现一些言情剧倾向还有莫名其妙的回忆杀，尺度上有所放开9分高了打一分平衡下后面会改"
"小仙女呀6v6","0","反腐诚意之作，算是国产剧的一个图破了吧，期待期待"
"念念","0","真是说不准谁就红了 谁就成了新一轮的表情包 陆毅这个角色设定有丢丢问题 不知道小说什么样 真是秒粉达康书记 心里有大家还有小家"
"约炮神器","0","虽说是史上尺度最大的电视剧，也尽量真实贴近现实，但是看多了觉得有点腻。"
"晚来风起","0","老戏骨就是老戏骨，演技炸裂，看的人欲罢不能，会继续追的"
"不调月经的凯","0","这么多一星，必须五星。"
"水器茶人","2","这部电视剧都没九分以上就只能呵呵"
"高圆圆","0","为什么陆毅口碑这么差，我觉得还好。不过导演能力确实不行，某些镜头生硬，服装道具场景都不够精致，剧情方面有时过于拖沓，建议删减。剧中的几乎所有女性都很讨厌，扣一星。"
"爱之荒年","3","看了第一集，好久没有看这么爽的反贪剧了，看老戏骨们飚戏好爽啊！我几乎要相信侯勇演的赵处长真的清廉了！"
"愤怒の葡萄","5","喜欢陆毅，看了两集，反腐力度大，尺度堪比越狱。"
"狂人诗","0","这些年难得一见的既吸引群众，又不失严肃的正剧，多一些这样的良心电视剧，少一些粗制滥造迎合粉丝的烂剧，中国的影视才有未来"
"烧麦","0","支持国产剧！"
"清露晗曦","0","老戏骨，题材好，剧情好，在追剧"
"雏鸣-桀","0","不错"
"飘de烟","0","虽然是主旋律剧，但看的过程意犹未尽，题材突破，老戏骨们的表演加分不少。"
"哈哈哈哈哈哈哈","0","带着枷锁能舞出的最大尺度"
"OmniRookie","2","良心好剧"
"Jxy","0","本来是四星，多一星鼓励，希望少点脑残剧"
"貓之豪","1","值四星吧-.-但是出于对国产剧的无比绝望，能看到这么良心的反腐正剧，就给多一星好了~"
"翟黑子","0","其实陆毅演技真没前头说的那么烂，毕竟搭档那么多老戏骨。直接被侯勇老师和吴刚老师圈粉好么！！！九分不能再低了。"
"Grass z","0","剧是良心剧，喜欢看书记们斗智斗勇。节奏稍微拖沓，郑胜利夫妻的戏份可以适当删减。"
"amy","0","好久没看到这么主旋律的题材了，以后请多出这样的精品剧"
"sisyphus","7","看了20分钟，演得太烂了，节奏拖沓，台词弱智。真贪官见了一定会当场笑死，这估计是本片为反腐事业做的主要贡献。"
"你梨","0","达康书记别哭 GDP会掉"
"dreammaker","0","反腐剧一直都是烂片，希望能来部像样点的反腐剧！ 陆毅 张丰毅给点追剧的勇气"
"博乐","0","打一星的，估计都是贪官及其家属������，看到人家拍片子讽刺他们，心里这个气啊。还是那句话，人民的眼睛是雪亮的"
"墨西哥龙","0","难得的尺度大开，前五集高能，剧情再紧凑一些就更好了，陆毅真是被各种完爆呀，不过他已经算发挥正常了"
"掀起","12","和你们不看就打一星的不同，我是看了两集才打了一星的"
"简单而无谓","0","给侯勇跪了，那种腿软的感觉简直了"
"叶·来·也~","4","【20170401】：初看1-3集，被演技派们惊到了~好难得能与父上母上共赏一部剧~怀疑大boss是打太极的绵羊书记和厅长学生。（现在恨极了贪官污吏！）"
"许可","7","题材不错，但主角和他老婆一说话就想笑，官腔和表决心联系到社会现实就会非常反感，可以有更接地气的表达方式。配角还不错，总体来说还是不如预期。可能面对的群体还是中老年观众，所以节奏感非常慢，动不动音乐煸情也很老套……打三分全冲着反腐去的呀。PS.豆瓣现在刷五星严重，恶意营销，改打负分。"
"黑爪兔","0","不谈艺术造诣，仅凭打破了多年电视剧里不准有贪官、某某级以上官员必须以正面形象出现的禁令，就该叫个好。"
"徐行","4","这剧能感天动地，足可见普罗大众对现实的不满。"
"Kame","0","恶心"
"爱在午夜巴黎","0","近期最有话题的一部剧，内容涉及以及深度方面可以说做到令人咋舌的地步，不过想到他上台后抓这方面非常紧跟事实出这部也无可厚非。演员方面实在太强劲了，几个反面人物都是这么棒的演员反倒凸显陆毅还是太年轻。1.2两集节奏把握挺快，3.4有点拖线索交代过多，不过两派斗争雏形已出，可以继续追。"
"kim","0","中国版纸牌屋其实捧得过高了，这剧和以往主旋律反腐主题剧套路差不多，前几集让人感觉有点突破，后边却开始虎头蛇尾，对腐败的核心问题没剖析到位，整体没有捧的那么好但也没某些洗脑论评价的那么差，没必要一棒打死。"
"歌仙与水怪","0","嗯，继续"
"daniel李慕白","1","近年的确优秀的电视剧！"
"高山仰止","0","尺度确实很大，让人看了很感慨社会的黑暗"
"小丫子","0","题材大胆 耳目一新 但为了55的剧情注了很多烧菜家常 情节显得拖沓 而且陆毅演的一点出戏 老戏骨都很棒 尤其喜欢坏人像的.com"
"Fish","4","带几个表啊，脑残？还“人民的名义” 。9分？一抹的水军，当别人瞎。"
"周一围老婆","0","好看啊 看演员飙戏特别爽 其实陆毅演的也不错 没必要鸡蛋挑骨头"
"特立独行的猫","0","国产剧这样真的很良心了 就是陆毅演技不行"
"小宇宙","0","中国官场学问只可意会不可言传……"
"4b4s","0","非常好看。。近几年好剧越来越多了。"
"囧囧有神晨小咩","2","不爱看政治类型的剧，但好多人推荐。看了下卡司，冲着这些老戏骨去看的，没想到相当好看！"
"冬青木","1","装逼，以人民的名义。"
"Catcher in rye","0","刚开始看第一集，彻底沦陷。"
"shan","5","反腐剧已变家庭伦理剧，这节奏拖沓的可以，水了好多集。为了延缓办案速度，欧阳菁还没开口！改看书去了……"
"八喜吃多了","0","陆毅演技减一星，捉鸡的剧情走向减一星。排评论里一句话：你只能看到一些人想让你看到的进步。"
"April","6","篇幅长得可怕，故事讲得太拖沓。硬伤是有，不过总体瑕不掩瑜。"
"文海地的迷妹","0","比较不喜欢一些手段，但是剧是真不错。"
"ALESMU","1","看见嬴渠梁，就忍不住把手伸向5星。都是戏骨啊，那一张张深不可测的脸……跪下吧，勾心斗角的祖宗来了。"
"阪有桑","0","一起守护达康书记GDP的带我一个"
"鱼儿 飞翔","1","真心好看，"
"你笑靥太美","0","故事性很强，尺度很大。。"
"elfin","0","觉得检察官们行动起来也是帅得不行！"
"當年青澀時","0","尺度这么大，就算有瑕疵也值五星！"
"树里","1","官场百态，被老戏骨们演绎的淋漓尽致，坏人不再是千篇一律的一眼就能看出，好人也不再是完美无瑕。每天两集不够看！"
"Sleepless","0","超强演技派阵容，反腐倡廉这样不可多见的题材，养肥了看。"
"近藤 雁南","0","上九分！"
"喝牛奶长高mm","0","就冲着尺度我都要支持下！！！"
"一棵秋天的树","3","神烦陆亦可"
"aka-阿凯","0","难得看到这么精彩的反腐电视剧！尺度大！感情真！演技好！五分没毛病！"
"漫漫长长","0","远超我想象的一部反腐片，非常值得推荐！"
"Cindereboot","5","这年头能看点智商在线的国产剧不容易，给点鼓励！"
"周yuyu","5","中期剧情稍微有点拖沓啰嗦，一只延续前两集的节奏就好了"
"青青绿萝","1","中国目前尺度最大的反腐剧，就这点就值得表扬。如果广电以后把电视、电影的题材放宽些，相信中国也会制出许多优秀的电视、电影。再加上这剧反映出当下中国官场的现状，人民的哀苦，真的很容易引起普通老百姓的共鸣，棒������"
"带我去看郭晋安","0","这部剧其实题材就对得起五星，在大陆，很久没有这样的题材了。但，原本一部好剧，在台词方面，也太过于党性了，这是一部面向平民百姓的，而剧里时不时的说出那些很马列主义的话语，着实让我们感觉尴尬，真的，尴尬死了"
"胡小胖","0","非常好看 达康书记简直是在那堆贪官中的一股清流呀"
"王雁生","1","真实的中国官场，不论混不混体制，可以学到很多哦"
"智","1","超级好看啊，我的书记厉害了哈啊哈"
"小洋裙爱墨镜","0","目前播了两集，感觉不错。情节跌宕，节奏较快，又不会让人有一种眼花缭乱的疲惫感。演员也非常优秀，仿佛眉梢眼角都带着戏。在最近的国产剧乏善可陈的日子里，是一股清流，支持。"
"Luego","1","官场上的对话真是有意思，缜密，瞻前顾后，来回踢皮球，说一句看三步，真佩服这些人啊。将这些黑暗揭露，说明只要审查放开，中国人的政治剧，不比那些韩国黑总统的电影差。"
"单行线","2","还算良心剧，但是小说这么短，非要拖沓成50多集么，真是逼的我把小说看完了。陆毅演正剧还真是不错。"
"至尊宝","0","尺度大，演员表演绝对标杆！不足就是剧情有些拖沓，不紧凑，郑胜利之类的家庭情节大煞风景。"
"夜猫嚎","0","Chinese Quality TV"
"吃蛋炒饭的猫","0","尺度的极限，写实，丑陋的官员嘴脸，司法不独立的弊病也反应的很透彻"
"南郭先生","0","没人话 没人性 烂"
"慧不慧","3","侯勇的演技真的棒棒哒，我看过片花，知道个大概，陪老爸一起看，他说侯勇是好的，我说不是，然后到他在别墅门口腿软，冰箱门前爆发…目前这几集来看，这部认真的戏真的很认真。"
"白日梦患者","15","最近公众号各种推这部剧，讲真，拍的确实不错，但我想到小时候看过的很多正剧都是这种水平甚至更高，却都没这部剧这么闭眼吹，可见现在国产电视剧质量差到了一定程度，看多了逻辑混乱无脑玛丽苏的观众，在看到一部正常质量的剧后引起的惊艳效应让人可喜又可悲。"
"深爱那片蓝","0","扣一分是因为陆毅，陆毅居然是演的最差的就可以证明其他老戏骨演的多好"
"滚球","0","我爸看了两集就被圈粉了～"
"shark","0","老戏骨们演的很棒！看得停不下来！近年来很少有的好剧！"
"唯一的动妻","0","超级棒！！！！"
"任嘉伦今年十八","3","难得好剧，演员演技炸裂，持续关注"
"BennyShi","6","20170408多一颗星给题材，拍的剧情逻辑经不起推敲。多做作的官僚剧情，中国人情社会如此虚伪做作。"
"江麦","1","垃圾"
"MJ读来东往","0","从未见过如此题材，精彩。"
"盲熊","2","没啥好说的！拍部电视就法制了？党内斗争而已、一些没脑子的屁民和五毛又高潮了..."
"蹦丝大象","0","胆子不小"
"落龙斩","0","副检察长的儿子是反贪局长大法官的老公是省委副书记大法官的侄女是反贪局处长系主任高升后当初看重的学生，也都步步高升，三个学生一个比一个赛高，最喜欢的学生会主席是本剧主角主角老婆是中纪委的主任市委书记的老婆是银行副行长；他们合伙，以反腐的名义，搞死了一个农民出身的赵处长。"
"失落的心","0","演技真的好，看的真的很过瘾，很久没一天刷完六集的经历了。本来演技算不错的陆毅，显得有些突兀。被各色小花污染的眼睛，终于可以洗洗了。虽然还是宣传伟光正的正剧，可是毕竟也演出了一些难以触及的层面，毕竟是进步，不是吗？总应该鼓励的。"
"黄共生","0","挺大胆"
"Charles炼心","0","真好看，很多老戏骨，演技高超。是影射周永康的吧。不过里面的大官都是官二代，要么沾亲带故，没有底层做起来的，唯一的处长级还是第二集就抓了的“农民的儿子”巨贪……这也是现实吧"
"AAA  涛声依旧","1","很震撼，很久没看到这种国产剧了！！！"
"遊園驚夢","2","一集给五星。"
"达康的风油精������","0","达康书记真帅"
"陈非","0","这片是给体制外的人看的"
"超大大大大可爱","0","有这样的电视剧实属不易"
"凌晨四点","1","今年终于有一部看得下去的剧了"
"空空Catch付","0","尺度之大，嘲讽之犀利和一众老演员就值五星，也不怪这部剧成为现象级作品。"
"胡安娜","3","没陆毅没内女的我打五星。那演技太恶心了，辣眼睛。小人得志+油了吧唧的样子，这么大年纪了，演技长点心吧，这不是玛丽苏偶像剧啊"
"有一美人兮","0","刚看了两集，挺好看的，喜欢。"
"prince","0","剧情和演员都是很棒的，比起近年来的一些电视剧来说真是一股清流！不知道那些没看剧就打低分的水军！你们的良心不会痛吗！"
"李大大来评论","0","大尺度"
"远古神兽胖达","0","题材很好，都是演技牌老戏骨！但是还是想吐槽台词，看着忒尴尬，剧情稍微有点拖，不过仍是好剧！"
"冷雨","0","良心剧，不给五星天理难容！"
"郑多彬","1","第一集节奏有点乱    陆毅的演技单拿出来还可以 戏里明显跟不上 完全压不住反派"
"蘑菇菇菇","4","有的地方真的很拖沓...但仍然觉得是个好剧"
"婷","0","水军真多。。。。。。。"
"黑煤球","5","陆毅演技被吊打…………"
"YanYeung","0","5星其实算不上，剪辑拖沓，bug明显。五颗星星都给darkcom书记。"
"郴树安","4","看完第一集没把我尬死"
"顾定邦Randolph","0","五星那还用说？"
"连翘","1","diss爱哭的毛毛虫"
"Devon Aoki","0","这部电视剧尺度好大，好多对白台词看到了令人震惊。有人说堪比美剧，在尺度和深度上我觉得比不上，但是对比过往类似题材国产剧，尺度不是最惊喜的。惊喜的部分是他横空出世的时机和宣传力度，看到了国产剧从毫无营养的古偶婆媳言情剧走回正途的希望！"
"-彩虹不会掉颜色","0","就前五集来说  10分"
"渴望流浪的咸鱼","0","与同期的国产剧比起来好太多"
"豆芽弯湾","1","这种也只能电视拍拍装逼，实际是不可能的。。反腐呵呵"
"浅尝辄止不名","0","年纪大点的演技确实好"
"海盗洋","0","高开低走"
"初霁","0","这陆亦可什么鬼 给脸色给的莫名其妙 看得我一脸懵逼"
"左岸烟花","4","好剧本，老戏骨，耐得住看，五星为了鼓励这类的片打的"
"贴地行驶","0","只能说唯一亮点就是题材的回归，其他也就一个达康演技稍好点，其他什么都没了。。。。。。一如既往的烂到无底线"
"心","0","用权利制衡权利，这是在弹乌纱帽上的灰啊，点钞的手势，比弹琴都厉害啊……人有情绪，是人之常情，要理解，老季有一手啊，在下级面前，多说鼓励的话，少说泄气的话，张宝宝的腿好漂亮"
"新异阳","0","为片名打个五星"
"7Up有点咸","0","那个傻逼郑西坡和他儿子，可以剪掉么？真他妈像走错剧组了。。"
"五个酱肘子","1","好看！一天看两遍！"
"love你。","0","看到孙连城心怀宇宙。拖沓也不是毛病了。只想给这部剧打6星������������������"
"重口味的煎蛋","0","挺好看的，这才是中国演员该有的演技，完爆各种鲜花鲜肉。"
"taivas","0","洗白剧，体制不改，这种事永远都会发生。"
"Miss.林深鹿","0","看完原著后，不得不过来瞻仰老演员们的走心演技！！！"
"钉子dx","0","不错不错，丝丝入扣"
"半面妆","0","一流好剧本，超级好演员，二流导演，三流剪辑"
"gmmy","0","五集五星，演技没得说，尺度也是一大突破，在充斥着各种玛丽苏脑残剧的时代，真是一股清流。不过一二集比较震撼，结构紧凑，之后就稍有拖沓，四星最合适，但为了平衡一星，还是五星好了~"
"宋","0","拖沓是有点拖沓，但不影响这部剧的魅力。是一部好剧，光看演员表就知道，没有任何以后现在的小鲜肉，就凭这个我我挺了。"
"死神的葬礼","0","只说两个常识，不肯公布自己财产状况的公仆是假公仆；官员的权力来自哪里就对哪里负责。"
"剥虾少女","2","一部很敢的剧，难得既真实又引人入胜。"
"Glitter168","0","不是不喜欢陆毅，不过和老戏骨比确实有不小的差距"
"毛二叔","3","xn"
"爱捕鱼的水","0","还可以吧，演员确实是老戏骨，总比满屏幕侮辱古代的情情爱爱和抗日神剧强"
"冰雪","0","先给四星吧，除了陆毅其他配角真的很出彩，特别是那些小角色。至少对比最近一某些剧，已经算不错了！一星真的不理解！"
"傅云","0","演技"
"_小兔儿爷","0","国家广电总局能允许把反腐倡廉的细节分毫不差的播出来，就已经证明了国家坚定反腐的决心。记得之前有一部同样的题材电视剧被剪掉大部分细节并被迫修改结局，到如今大尺度的播出，我们也该为国家这样对人民的坦白而感到骄傲吧。片中多次引用李克强总理和习近平主席的话，也暗含政治意味。"
"xoxoxtina","0","口区"
"若白的腿部挂件","0","好看"
"ppppaziya","5","那些说不被代表的人民的，说导演不如孔笙的，我拜托你们清醒一点！反腐题材拍出这种效果已经很厉害了，某些人总觉得自己被社会欺负了似的，电视剧能起到积极的作用总好过那些三观不正误导人的烂剧吧。。。"
"观察家","2","尺度惊人，绝对是相关部门亮绿灯的，堪称国版纸牌屋了。只是国产电视剧都一个毛病，拖沓磨蹭，鸡毛蒜皮，婆婆妈妈。。。"
"H₂O","0","简直就是行走的党课啊，忍不住要拿出两学一做笔记本记记记"
"一叶孤舟","0","第一集：导演的镜头处理相当有心无力。"
"酷妞","0","好剧，赞\(≧▽≦)/。"
"六州笑","0","一口气看完六集，大写的服！对剧本的高潮迭起服气，对演员精彩的演技服气！（ps：唯一比较遗憾的是独角戏旁白OS，有点拖节奏的嫌疑。虽然知道是为了深挖人物思想，但还是觉得莫名尴尬~像法制频道的解说~如果把它们化成对手戏时的台词就完美了）"
"mika","0","被营销得去看了一眼，法制节目级的剧本和镜头语言，男主演们的演技也就是正常，普通级别的难看，是口碑营销太没底线，还是电视剧观众没有底线？"
"窝","0","剧情挺好的，演员演技强悍������������只是到中间开始有些剧情拖沓了！"
"火河","0","挺好看的，等后续"
"cheryl 清儿","0","天了噜，太好看了！！！！！！"
"Alice","0","这么好的电视剧居然有脑残耍一星������������������������"
"mitusi","0","很少追国产剧，剧情不错，但是那BGM经常让人出戏"
"whoknows","2","大段的说教，看不下去"
"卖相好","0","剪辑成十一集 再来个三集前传 两部sp 完美 陆毅大哥找你撑这部大戏的垃圾时间也是坑了你 人民肯定会恨你的"
"小南","0","达康书记的GDP由我来守护！"
"路家声","0","侯勇真的太棒了。演活了一个贪官，这样的演员这样的戏才有欣赏价值。"
"死鸭子嘴硬","0","在我心目中的国产剧排前三"
"落陶的小人","0","尺度突破，终于舍得自黑了！剧情拖沓，台词不够精炼，但是也不错，必须支持！"
"无聊的日天哥","0","可以"
"mute","0","先马"
"fight","1","周晋和青楚重逢了……陆毅演技还是一如既往地烂，20多年了光长年龄不长水平啊。整体就他一个烂，其它全是闪光点"
"K-7","0","陆毅看得我尴尬癌要晚期了"
"青山不见绿水","0","不想再浪费生命了"
"云淡风轻","0","被达康书记圈粉啦！(๑• . •๑)我是.com哈哈哈！每天按时追，剧情很紧扣，我喜欢。良心好剧，墙裂推荐"
"CsnonEWim","0","谢谢创造了如此精彩的各位"
"水知寒","0","好看，国产良心剧！都是老戏骨，演技超好！"
"落夏是个胖纸","5","若是以前会觉得很值五星，但真正跑过时政后再看这部剧，就为了这些老戏骨，给四星，毕竟如今能有一部正常电视剧是多么良心的事。"
"远峰莉莉丝","0","拖戏严重，越来越没办法看，节奏根本垮了"
"胖胖小君君","6","无数演技派撑死的一大片天空，感觉陆毅逼格又回来了"
"暗夜之旅","0","精彩，一群老戏骨飙戏。"
"小何","0","拖沓，。。进展的有些慢"
"M&M","5","挺尴尬的啊。不知道是候亮平这个角色本来就傻还是编剧水平有限，但是让个这么没水平的人当男主真是没吸引力。演技就不说了，他干的那些事儿，完全不像一个在北京做过处长的水平。"
"犬鬼浪天","0","到处都是亲戚的官员们，这电视剧改名叫家族荣耀就行了么"
"织田的野望","0","这种剧都敢拍，真的可以！！！"
"一树江头","0","看了三集，没觉得特别好……"
"孙大胡子","0","国产剧拿得出手了"
"yyk","0","四星半。多半星鼓励国产佳片"
"我不想做人了","0","呵呵"
"阿突突","0","这官腔"
"嘿巧克力可可","0","一口气停不下来，希望赶紧更新"
"多兰","6","官腔打的值9分"
"springrolls","0","看到第八集，男主空降到汉东反贪局当局长，底下所有人都明目张胆地跟他呛声，放现实里怎么可能？都不想混了？还有这剧目前都没有出现过“人民”，全是各种级别的官。检察院办案效率也太低了吧，丁义珍的银行开户情况和往来明细不查？陈岩石喜欢搞垂帘听政？剧情不是在开会就是在吃饭。"
"我是老大","0","第一集被年轻演员给恶心到了，林华华和周正可以领盒饭去了"
"柚子樱桃","0","冲着这个尺度，必须给五星啊，国产剧这个尺度，已经突破天际了"
"90zhangd","0","现代版的大明王朝"
"求开饭yyp","0","官场上的人都是好演员，演技一流，抗压能力一流，虽然可能是贪官，有些为人处事的方式还是值得借鉴的。"
"lynn_dodo","0","被第二集侯勇的演技震惊了 老戏骨真的没得说！开会的时候几个人来回推拉踢皮球真的很有水准 一边道貌岸然谈着礼义廉耻 一边却疯狂的敛财为了仕途 真的 太让人恶心了 虽然一直知道 但拍出来还是让人感到愤怒"
"孟大超","0","看的想哭，陆毅太蹦跶，跳戏严重，其他都完美…"
"美丽莎小姐","0","一口气看到第十集！所有的演员都很棒啊，特别是达康书记。但是我真的搞不懂为什么有人吐槽陆毅，陆毅明明颜值在线啊，演技也在线啊，并且没用配音啊，我觉得他特别符合这个角色啊！从小就阳光的他现在还是一身刚毅正气！我永远是陆毅的迷妹！！！"
"路寻清","0","恶心！"
"Leonkaku","0","陆毅好可怜。"
"大倪","2","长知识了，检察院司法省委"
"Milch","1","作为法学的学生，这个剧的法律思维太严谨了好吗！前几天刑诉老师才讲一个贪官的案例，现在就能实际看到，演技更不用说，由最高检引的电视剧简直了太好看了 ������������������"
"听雨","0","剧是好剧，不过追到15集追不动了，剧情太拖沓了，案件拖沓也就算了，唉。"
"gooood_come","9","蛤？？？？"
"蓝冰","0","前几天看到有爆料说这剧营销要拉踩小鲜肉的方案，原来是真的，营销手段太恶心，一星不送"
"老里岸","0","这电视剧挺好，但不能当事实看，毕竟还是戏，一些深的东西没有说出来。分数高开低走，也正常，毕竟头两集，侯勇那段戏太精彩，一上来就高潮，后面有点杂了，还有个最大的问题，所以的情节全部使用多线叙事，看的有点乱，你可以用一部分，不要全用，最后说一句，有不喜欢的人很正常，一星2星都是水军。"
"旭阳新成","0","要不是习」总反腐，检察院哪里敢抓这些大官，另外，要是能拍出「纸牌屋」那种大片的感觉就好了"
"阿魔","0","果真不错，晚上一口气看了十集，尤其这些个演员，演的真是到位！贪婪就像鬼魅，有权力的地方，腐败就回滋生蔓延。虽然每个人都明白，贪污往往意味着危险，可当贿赂来到眼前的时候，理智瞬间被腰斩，抵抗力全线崩溃。这第一次尝了甜头，谁还会停止的了？"
"Claire","0","反腐题材值得观看"
"鲁迅先生2333","0","可以啊 毕竟有那么多老戏骨"
"苏打饼干好好吃","1","陆毅还是不行啊 被老戏骨们全方位碾压 他演技其实是及格的 70分绝对有了 可和这一群99分的人一比 就显得差了"
"Lan是这个岗","0","的确是部好剧 陆毅演技稍弱"
"子净","12","少一些说教，会更好一点吧"
"lili","1","高分高在题材上了，陆毅演的有点格格不入，表演痕迹明显，老戏骨们演的不错，但是这种题材个人不太喜欢看"
"Vieing","0","爽！看到停不下来！"
"柳河边","0","前几集还可以"
"桔梗","0","剧本相当扎实，不断有惊喜给我，演技除了陆毅都特别好。但是剪辑简直不能忍，剪的太垃圾！是太垃圾！减一星"
"天水D礼","1","特别的好，看了一集停不下来了，非常的真实，各个都是老戏骨"
"桥小墩儿","0","本来想四星的，但是恶意一星的太多了"
"圈","1","老戏骨群体飙戏 每一个拎出来都是演技派"
"虫老板","7","陆毅这家子的表现你不能说就没有，但是搬到荧幕上还是怪怪的，不真实，跟一帮老戏骨面前，演技也难免落下风了，导演用人的要求还是蛮高的，陆毅当主角应该是各方平衡的结果吧？"
"酸汤肥牛","1","贼好看"
"等Real","1","不负期待，演员演技使这部剧看的过瘾"
"fafa－光耀","0","2017年最佳国产电视剧，无人不服"
"云中君","7","难得看到反腐剧，无论现实如何，能制作播出就是个良好的信号！如果认真拍起中国官场来，那可是太有意思咯，一点不比国外的政治剧差呀！因为这是积攒了千年的官场哲学呀！里面的人物各有特色，不能更写实了。电视剧制作精良，演员发挥水准之上，想打100星！"
"feikool","0","豆瓣正在被水军攻陷，这么好的剧，不给五星对不起人民。不管是不是为zz背书，绝对是当下脸星霸屏，收视靠买的中国影视行业里的一股清流，希望多一些这样的国产剧，希望脑残粉能少一些，希望豆瓣离铜臭味远一些"
"一一","3","看得我尴尬的"
"我和我自己","0","看这个剧还是得有点政治素养。想进官场的请细品，很真实。你们觉得是在讲大道理，其实官场就是用冠冕堂皇的话表达自己的意思。很多关系错综复杂，职权范围，人情往来都要考虑，和纸牌屋是两回事，和美国政治也是两回事。另外这剧砍掉郑西坡儿子这条线，小皮球这条线，节奏就好多了"
"O_O81811","0","剧情、演技、节奏服化道一流，堪称经典。"
"小樊嘿","1","都是老戏骨啊，演技超赞！剧情非常真实，反腐太棒，很有诚意的电视剧！"
"春猪","2","爸妈很喜欢 无条件满分"
"飞人","0","好片"
"康鑫","0","整体不错 不过剧情不够紧促 很多剧情可有可无"
"豆瓣酱","11","老戏骨之间飙戏看着真好，觉的陆毅的演技也在线，并没有说的那么什么全程碾压。正剧要支持。"
"杜竺竺๑������","1","感觉这个题材很久没见了，老戏骨们演技真是绝了～希望不要烂尾"
"满是缺口的圆。","0","跟风追一发，只看到第二集，叙事节奏尴尬…陆毅演技减一星，侯勇等其他老演员加一星，题材鼓励加一星…"
"金灯道君","0","其实吧，这剧真不值五星，但为了怼某些人，还是五星鼓励个吧～"
"Migratory","8","评分高到8.8真让人吃惊，简单看了一下给出五星的原因是因为这部国产剧尺度大的前无古人，所以大家放弃了对除剧情意外评分依据的考虑了是吗？呵呵，你们也真是容易满足。剧本一星老戏骨一星审核人一星真的不能再多了……"
"你TMD来打我吖","0","分分钟教这些流量小生，整容小花们做人！！！！"
"DV7","0","真难得这样尺度的正剧"
"Amber Chen","1","制作团队还是要用点心吧，抠图都抠不干净。陆毅台词比起其他角色怎么觉得是另一个编剧写的？"
"Feifeigei","0","什么时候才能把法治放在第一位？"
"M.G.","0","希望有更多这样的良心剧"
"阿夜狗狗","0","侯勇的演技真好啊"
"Augus_Yuan","0","敢于把黑暗放在阳光地下那就是最大的进步。"
"迷途小书生","0","开会的戏好~"
